face_id,content,label
facebook_corpus_msr_401470,mahmood ghaznavi aor abdali ko bhol gaya ha tu :face_with_tears_of_joy: hazar saal tjhy ghulam bana kr rkha tha bhol gaya tu,3
facebook_corpus_msr_386695,bhai sal pehle desh me kya tha pehle pta kro desh waise ka waise kaise hai,2
facebook_corpus_msr_373389,chutiya friday ko isliye releae krte kyoki week end ke din milte h to log free hokr film dekh sake|hd h yrr chutiyapa ki,2
facebook_corpus_msr_917635,जय म ो द ी र ा ज,2
facebook_corpus_msr_382517,upa walo ne bahot kuch kr diya tha desh k liye,2
facebook_corpus_msr_403274,pan ko aadhar se link ki zarurat kuy hai|supreme court ne ye bola hi nahi,2
facebook_corpus_msr_1723083,क ा कर प ा थर ज ो ड़ क े मस ् ज ि द लई बन ा य । त ा चढ़ ि म ु ल ् ल ा ब ा ं घ द े|क ् य ा बहर ा ह ु आ ख ु द ा य । यह म ै ं नह ी ं कब ी र न े कह ा थ ा ।,3
facebook_corpus_msr_325257,us raat tere papa k jageh mera sperm gya tha use of technology aur tere papa ko pta v na chala :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: chutiya,3
facebook_corpus_msr_23447,गटर क े क ी ड ़ े,3
facebook_corpus_msr_1477104,waise bandhu jet lag se bachne ke liye raat ko baje ke baad so jao,1
facebook_corpus_msr_342560,get your love back and all problems solution with in hours one call change life समस ् य ा च ा ह े क ै स ी भ ी ह ो जड़ स े खत ् म । बड़ ी स े बड़ ी समस ् य ा क ा सम ा ध ा न । अपन े मन च ा ह े प ् य ा र क ो प ा न ा|क ा म क ा र ो ब ा र|क ि य ा कर ा य ा|स ो तन स े छ ु टक ा र ा|पत ि पत ् न ी म े ं अनबन|,1
facebook_corpus_msr_1432952,व ि द ि श ा स े ब ी ज े प ी क ी स ु षम ा स ् वर ा ज आग े,1
facebook_corpus_msr_1561781,bhaii tume lagta bjp ne kia h ye to fir aao politics me sudharo society,2
facebook_corpus_msr_402955,es kutte ko jail me daal do|desh drohi hai,3
facebook_corpus_msr_1034376,स ी न ा ज ो र ी,3
facebook_corpus_msr_386796,haan sahi kaha jab pm ko jutey padh saktey wo bhi inch ko to congress neta kis kheht ki muli hai,2
facebook_corpus_msr_397419,arwin khwabon se bahar niklo aur dekho kashmir india ka tha|h|aur rhega|and vase bhi kashmir m hum kaafiron k bahut sare religious places h jo uski beauty ko chaar chand lgate h tum terrorist ka toh sirf terrorism h jo uski beauty ko brbaad kr rha h|tum log jisko jo kuch kehte ho usse janane m hume koi interest nhi h isliye faltu m bako mt k hum isko ye kehte h hum usko woh kehte h vagarah vagarah,2
facebook_corpus_msr_1155462,श ् र ी श ् र ी ज ि नक े ल ि ए प ू र ी सरक ा र न े द ि ल ् ल ी म े यम ु न ा भ ी बरब ा द ह ो न े द ी स ा र ी स ु व ि ध ा द ी उनस े म ि लन े स े द े शव ि र ो ध क ा क ् य ा मतलब ब े शक क ो ई और म ि लत ा त ो उस े तमग ा और प ा क ि स ् त ा न क ा न ि व ा स म ि लत े,3
