face_id,content,label
facebook_corpus_msr_1723796,well said sonu|you have courage to stand against dadagiri of muslims,3
facebook_corpus_msr_466073,most of private banks atm s like hdfc|icici etc are out of cash|only public sector bank s atm working,1
facebook_corpus_msr_1493901,now question is|pakistan will adhere to this,3
facebook_corpus_msr_405512,pakistan is comprised of fake muslims who does not know the meaning of unity and imposes their thoughts on others|all the rascals have gathered there,3
facebook_corpus_msr_1521685,we r against cow slaughter|so of course it will stop leather manufacturing if it happens,1
facebook_corpus_msr_462570,wondering why educated ambassador is struggling to pay through credit debit at a decent restaurant|cant imagine that diplomat of a developed nation is not having a card and he needs cash only for dinner,2
facebook_corpus_msr_465051,how does inflation react to all the after shocks of this demon,1
facebook_corpus_msr_450994,not good job|this guis creating a problem n our socacity,2
facebook_corpus_msr_326287,this is a false news indian media is simply misguiding there nation and creating hatred|media should be v careful while spreading the news|shame|sad,1
facebook_corpus_msr_430450,no permanent foes|no permanent friends|interest is permanent,1
facebook_corpus_msr_1804887,deepak kumar sharma saab|chalo aap ki ye baat ek baar mann li|now whatever pm saab has talked about in|kya kya kia us main|he is just a campaigner of bjp nothing else|ek cheez bta do|but he is implementing all the bills which he opposed before|example fdi|gst and list is long,1
facebook_corpus_msr_2111268,communist parties killed lacks of opponents in wb in years ruling|,3
facebook_corpus_msr_470188,why you guys counter the modi govt decisions|its fact there is black money cleanup stand taken|so many discussions on news channel|individuals meetings why so much of efforts made by media and make people scared and provoke,1
facebook_corpus_msr_2111389,rss is time ban terrorist organization,3
facebook_corpus_msr_405837,no same acting ll be there|but we ll watch no option|:grimacing_face: :winking_face_with_tongue:,1
facebook_corpus_msr_482226,happy diwali|let us wish the next one year health|wealth n growth to our indian economy,1
facebook_corpus_msr_439533,lolz|he said he is gonna employ large number of people in cyber security sector|are you gonna employ illiterates in that profile,1
facebook_corpus_msr_1525131,so funny stupid,3
facebook_corpus_msr_443046,absolutely|the deeper you dive the shallower cushion you have,2
facebook_corpus_msr_2111210,brown sahib|anti national leftist commies|media and muslim pandering hindu sick o lars have milked secularism to all it was worth to render it into a mere failed slogan|sick o larism has been nothing more than continuation of british policy of divide and rule|that rss is opposed to the idea of secularism|absolutely because it has been used as a dagger into the heart of hindus|hinduism and hindustan,2
facebook_corpus_msr_461000,now nifty above day moving average|what next day moving average,1
facebook_corpus_msr_1429853,good to see when their in no error in pak and afgan and india as well so in can for development step,1
facebook_corpus_msr_331246,first of all|there is no gaurakshak in assam|the villagers beaten those two thieves|these things happen|when thieves try to steal the only property farmers have,1
facebook_corpus_msr_1805375,aap dont need the monsters like u,3
facebook_corpus_msr_469159,for tht those hv more thn flats or land is legal rest has to surrender properties to govt,2
facebook_corpus_msr_464500,once upon a time bengal kolkata was most prosperous states in india|now it is compared with bihar odisa|wake up mitra|use your knowledge to help bengal|rather than delivering stupid lecture,1
facebook_corpus_msr_322726,oh pak army or should say porki hijada army whose country did not excepted the bodies of their dickless coward army during kargil war|army which submitted infront of indian army in and east pakistan became bangladesh|and hijada army could not even save school childrens from merciless killings and indian forces really reached lahore in,3
facebook_corpus_msr_334533,he would be a lone boss with all the supporters shifts with kejriwal,1
facebook_corpus_msr_1723831,we want to get rid of u indians|why do not u hear our loud cries,3
facebook_corpus_msr_417581,only of jio customers converted into prime|so they extended d date :beaming_face_with_smiling_eyes:,1
facebook_corpus_msr_1990156,loot of people s mandate|is it democracy,3
facebook_corpus_msr_2032235,again the same thing in eyes of judiciary he is not terrorist he is accused in our eyes is terrorist and he deserved to killed who ever keep a bad eye on our nation he are she should be killed without no mercy,3
facebook_corpus_msr_1723874,this problem is occur only in india not in other countries,2
facebook_corpus_msr_416461,positional buy jpassociate on every decline||||for target and time frame years,1
facebook_corpus_msr_445648,in government office implement the online transactions|also all parties should show off their account transaction for running their elections in rti,2
facebook_corpus_msr_1805076,dramebaaj anna kya bjp ki government aate hi lokpal bill aur lokpal bhool gaye baat karne mae sharm bhi nahi aatee,3
facebook_corpus_msr_382223,unfortunately this is wat indian govt is capable of doing|i dint vote for modiji to see such crap,2
facebook_corpus_msr_397776,it s coward like u who backstab|just wait and watch|u forgot the day when lakh porkis soldier were freed from india|by the way what r u doing in indian news channel|dont your country have your own channels,3
facebook_corpus_msr_427865,hi anuj brought divis to days at what to do and tata motor dvr any target,1
facebook_corpus_msr_445669,people talk about common man suffering all the time|this is the same country where thousands laid their lives for freedom|cant the common man endure little trouble to stand in queues for the greater good,2
facebook_corpus_msr_470981,i visited atm but i cont able to withdraw from money|not working,2
facebook_corpus_msr_406854,i know you people of nagaland and meghalaya hate bjp but its the truth lok sabha seats from those states can not stop bjp assam and arunachal yes it matters but these states are becoming strongholds of bjp day by day including manipur tripura and sikkim,1
facebook_corpus_msr_450764,modi ji|all the pain nö real gain,2
